Group,Province State,Country Region,iso2,iso3,Subregion,Population-2020,Latitude,Longitude,Location Geom,Continent,Continent Code,Region,Country,Daily Values,Last Week Values,This Week Values,Diff Values,Date,Values,Values per Mil
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,3/16/2020,54,1
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,3/15/2020,48,1
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,3/14/2020,37,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,3/13/2020,26,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,3/12/2020,24,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,3/11/2020,20,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,3/10/2020,20,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,3/1/2020,1,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,2/9/2020,0,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,2/8/2020,0,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,2/7/2020,0,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,2/6/2020,0,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,2/5/2020,0,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,2/4/2020,0,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,2/3/2020,0,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,2/29/2020,1,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,2/28/2020,1,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,2/27/2020,1,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,2/26/2020,1,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,2/25/2020,1,0
Confirmed Cases,,Algeria,DZ,DZA,Northern,"43,851,044",28.0339,1.6596,POINT(1.6596 28.0339),Africa,AF,Northern Africa,Algeria,0,856.0,679.0,-0.20677570093457945,2/24/2020,0,0
